year,payloads_in_orbit,launch_successes,payloads_decayed,launch_failures,jspoc_debris,num_destr_asat,num_destr_satsat,num_destr_debsat,debris,risk,shell_avg_risk
1957,2,5,3,1,0,0,0,0,0,0,0
1958,4,8,7,20,0,0,0,0,0,0,0
1959,5,20,9,13,4,0,0,0,0,0.002310542874058,0.000135914286709
1960,16,36,23,29,25,0,0,0,10,0.243853548731172,0.014344326395951
1961,29,67,50,24,326,0,0,0,165,0.293831168810487,0.017284186400617
1962,46,58,42,27,355,0,0,0,214,0.367595273614033,0.021623251389061
1963,62,86,52,35,475,0,0,0,246,0.291574226780569,0.017151425104739
1964,96,129,67,26,579,0,0,0,271,0.604510027618078,0.035559413389299
1965,158,110,88,19,1455,0,0,0,687,0.727773646399202,0.042810214494071
1966,180,117,84,23,1563,0,0,0,710,0.948335035658345,0.055784413862256
1967,213,108,88,19,1606,0,0,0,789,1.11954844795767,0.065855791056333
1968,233,109,88,22,1867,1,0,0,883,0.936036736161735,0.055060984480102
1969,254,105,79,25,2093,0,0,0,1045,0.582036605096715,0.03423744735863
1970,280,126,65,14,2643,1,0,0,1407,0.667050595978186,0.039238270351658
1971,341,105,57,25,2849,1,0,0,1578,0.793389848558951,0.046669991091703
1972,389,108,62,12,3063,0,0,0,1539,0.836359344438537,0.049197608496385
1973,435,107,59,10,3300,0,0,0,1702,0.895259445813498,0.052662320341971
1974,483,128,62,12,3561,0,0,0,1745,0.999183548429225,0.058775502848778
1975,549,124,60,9,4151,0,0,0,2221,1.12267495660687,0.066039703329816
1976,613,100,53,5,4502,1,0,0,2309,1.2599847381559,0.074116749303288
1977,660,122,76,9,4777,0,0,0,2511,1.38790166617235,0.081641274480726
1978,706,104,88,6,4914,1,0,0,2479,1.41458517257645,0.083210892504497
1979,722,106,90,8,5032,0,0,0,2320,1.49535115099755,0.087961832411621
1980,738,128,79,15,5011,1,0,0,2200,1.57353279543073,0.092560752672396
1981,787,118,70,5,5399,0,0,0,2513,1.63049158930461,0.095911269959095
1982,835,112,74,42,5686,1,0,0,2503,1.78042345760544,0.104730791623849
1983,873,114,62,26,5933,0,0,0,2541,1.94109262804006,0.114181919296474
1984,925,119,65,1,5939,0,0,0,2807,2.09679263502303,0.123340743236649
1985,979,113,50,6,6113,1,0,0,3172,2.29260194062895,0.134858937684056
1986,1042,114,55,20,6836,0,0,0,3714,2.45975661118377,0.144691565363751
1987,1101,104,73,8,7213,0,0,0,3872,2.64046354245826,0.155321384850486
1988,1132,89,83,8,6857,0,0,0,3638,2.69465558278453,0.158509151928502
1989,1138,111,61,2,6418,0,0,0,3056,2.76315603474726,0.162538590279251
1990,1188,93,59,11,6384,0,0,0,3021,2.94394086958653,0.173172992328619
1991,1222,85,68,34,6356,0,0,0,3131,2.78882475784347,0.164048515167263
1992,1239,72,45,3,6569,0,0,0,3337,2.81948629032027,0.165852134724722
1993,1266,67,31,7,8390,0,0,0,3414,3.172532041747,0.186619531867471
1994,1302,52,38,5,9208,1,0,0,3432,3.29146997191426,0.193615880700839
1995,1316,48,28,12,9473,0,0,0,3414,3.65313597228837,0.214890351311081
1996,1336,101,29,12,9371,0,0,1,3980,3.72572280960375,0.219160165270809
1997,1408,334,29,9,9761,0,0,0,3793,4.22626728173945,0.24860395774938
1998,1713,80,30,16,9647,0,0,0,3732,4.50522268659812,0.265013099211654
1999,1763,56,35,8,13257,0,0,0,3881,4.12680673501702,0.242753337353942
2000,1784,47,47,9,13464,0,0,0,3772,4.13414599178078,0.243185058340046
2001,1784,59,42,6,13577,0,0,0,3905,3.6283487380476,0.213432278708682
2002,1801,44,23,5,13264,0,0,0,3663,3.44757588091632,0.202798581230372
2003,1822,38,17,3,13156,0,0,0,3654,3.47883758249742,0.20463750485279
2004,1843,36,23,6,13087,0,0,0,3775,3.65097683818341,0.214763343422553
2005,1856,43,18,4,12984,0,0,0,3886,3.8044485870317,0.223791093354806
2006,1881,59,22,21,13669,0,0,0,4019,4.1071734234289,0.241598436672288
2007,1918,59,20,6,13615,1,0,0,6542,4.7396772164971,0.278804542146888
2008,1957,72,21,6,13012,1,0,0,6933,5.08921643427632,0.29936567260449
2009,2008,60,35,5,12935,0,1,0,9175,5.76191251482962,0.338936030284095
2010,2033,67,37,6,12676,0,0,0,9518,5.69780954361475,0.335165267271456
2011,2063,63,31,9,12318,0,0,0,9662,5.77111052579584,0.339477089752696
2012,2095,151,37,6,12079,0,0,0,9427,5.66013796698894,0.33294929217582
2013,2209,131,84,8,11769,0,0,3,9410,5.74487965357175,0.337934097268926
2014,2256,89,74,33,11302,0,0,0,9130,5.88826953659207,0.346368796270122
2015,2271,0,0,28,11012,0,0,0,9331,5.96119901784433,0.350658765755549
2016,0,0,0,0,0,0,0,0,9239,5.957296550209,0.350429208835823
